"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","microphone_confirmed","device_id","view_history","trial_type_label","estimated_stimulus_onset","audio_upload","stimulus_code","sentence","condition","trial_stage","audio_url","recording_attempt","recording_filename","review_decision","saved_audio_file"
"1357","
    <div class=""consent"">
      <h2>Consent Form</h2>
      <p>If you agree to participate in this research, please click ""Continue"".</p>
    </div>
  ","0","html-button-response","0","1362","0.0-0.0","7brghu4wnv","","","","","","","","","","","","","","",""
"996","
    <div class=""instructions"">
      <h2>Instructions</h2>
      <p>In this experiment, you will see a sentence on the screen.</p>
      <p>Your task is to record yourself reading that sentence aloud using your microphone.</p>
      <p>For each sentence, you'll click <strong>Start Recording</strong> when you're ready, rather than having the recording begin right away.</p>
      <p>After each recording, you can listen back and either continue to the next sentence or re-record.</p>
      <p>Click ""Next"" to continue to the microphone test.</p>
    </div>
  ","0","html-button-response","1","2360","0.0-1.0","7brghu4wnv","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","2","11676","0.0-2.0","7brghu4wnv","yes","","","","","","","","","","","","","",""
"5699","
    <div class=""content"">
      <h2>Microphone Setup</h2>
      <div class=""instruction-box"">
        <p>Before starting the experiment, we need to set up your microphone.</p>
        <p>On the next page:</p>
        <ul>
          <li>Your browser will ask for microphone permission - please click <strong>Allow</strong></li>
          <li>You'll see a dropdown menu with available microphones</li>
          <li>Select the microphone you want to use</li>
          <li>Click ""Use this microphone"" to continue</li>
        </ul>
      </div>
    </div>
  ","0","html-button-response","3","17377","0.0-3.0","7brghu4wnv","","","","","","","","","","","","","","",""
"","","","initialize-microphone","4","33691","0.0-4.0","7brghu4wnv","","224d49aeb5d5aad9e1be745badd5befc62778364b06b15db61324e267dc555c2","","","","","","","","","","","","",""
"17234","","","instructions","5","50925","0.0-5.0","7brghu4wnv","","","[{""page_index"":0,""viewing_time"":17234}]","","","","","","","","","","","",""
"3732","
        <div class=""content"">
          <div class=""recording-box"">
            <h3>Microphone Test</h3>
            <p>Take a moment to get ready.</p>
            <p>Click the button below when you want to begin the test recording.</p>
          </div>
        </div>
      ","0","html-button-response","6","54659","0.0-6.0","7brghu4wnv","","","","microphone_test_ready","","","","","","","","","","",""
"4894","
          <div class=""content"">
          <div class=""recording-box"">
          <h3>Recording in Progress...</h3>
          <p>Speak naturally, for example: <em>""Testing, 1, 2, 3.""</em></p>
      </div>
    ","7brghu4wnv_microphone_test_audio.webm","html-audio-response","7","66843","0.0-7.0","7brghu4wnv","","","","microphone_test","9","queued","","","","","","","","",""
"10545","
    <div class=""content"">
      <div class=""begin-box"">
        <h2>Let's Begin!</h2>
        <p>Now the microphone test is done and the main part begins.</p>
        <p>Each sentence will appear first, and you'll click <strong>Start Recording</strong> when you're ready to speak.</p>
        <p>After each sentence, you'll be able to listen to your recording and decide whether to keep it or record again.</p>
        <p>Click ""Continue"" to start recording the sentences.</p>
      </div>
    </div>
  ","0","html-button-response","8","77392","0.0-8.0","7brghu4wnv","","","","","","","","","","","","","","",""
"4897","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">In Ancient Egypt, a yard was the length of a man's arm from nose to tip.</p>
          </div>
        ","0","html-button-response","9","82291","0.0-9.0-0.0","7brghu4wnv","","","","","","","F15T","In Ancient Egypt, a yard was the length of a man's arm from nose to tip.","true","sentence_ready","","","","",""
"8129","
          <div class=""recording-instructions-box"">
            <h2>Recording in progress</h2>
            <p>Please read the sentence naturally, then click the button when you are done.</p>
            <p class=""sentence-stimulus"">In Ancient Egypt, a yard was the length of a man's arm from nose to tip.</p>
          </div>
        ","null","html-audio-response","10","90496","0.0-9.0-1.0","7brghu4wnv","","","","","11","","F15T","In Ancient Egypt, a yard was the length of a man's arm from nose to tip.","true","sentence_recording","blob:https://charburnham.github.io/5bc91cf8-6876-4e70-8e99-1e3fa0c8be9a","1","7brghu4wnv_F15T_audio.webm","",""
"12610","
            <div class=""recording-instructions-box"">
              <h2>Review your recording</h2>
              <p>Listen to your recording for this sentence. If you want, you can record it again before moving on.</p>
              <p class=""sentence-stimulus"">In Ancient Egypt, a yard was the length of a man's arm from nose to tip.</p>
              <audio controls src=""blob:https://charburnham.github.io/5bc91cf8-6876-4e70-8e99-1e3fa0c8be9a"" class=""playback-audio""></audio>
            </div>
          ","0","html-button-response","11","103108","0.0-9.0-2.0","7brghu4wnv","","","","","","not_uploaded_rerecorded","F15T","In Ancient Egypt, a yard was the length of a man's arm from nose to tip.","true","sentence_review","","1","7brghu4wnv_F15T_audio.webm","rerecord","null"
"981","
          <div class=""recording-instructions-box"">
            <h2>Read the sentence aloud</h2>
            <p>Take a moment to get ready. When you are ready to begin, click the button below to start recording.</p>
            <p class=""sentence-stimulus"">In Ancient Egypt, a yard was the length of a man's arm from nose to tip.</p>
          </div>
        ","0","html-button-response","12","104091","0.0-9.1-0.1","7brghu4wnv","","","","","","","F15T","In Ancient Egypt, a yard was the length of a man's arm from nose to tip.","true","sentence_ready","","","","",""
